Condition	Gene1	Gene2	PCC_all	PCC_L1out	dPCC	Pval
TP53_GOF	C19orf57	PSMC4	0.317	0.429	-0.112	0.000
TP53_GOF	C19orf57	PSMC6	0.175	0.279	-0.104	0.000
TP53_GOF	C19orf57	PTPRN	0.231	0.353	-0.122	0.000
TP53_GOF	C19orf57	PUF60	0.264	0.391	-0.127	0.000
TP53_GOF	C19orf57	RND1	0.255	0.381	-0.126	0.000
TP53_GOF	C19orf57	RTP2	0.256	0.391	-0.135	0.000
TP53_GOF	C19orf57	SDC1	0.150	0.263	-0.113	0.002
TP53_GOF	C19orf57	SLC28A1	0.189	0.323	-0.134	0.000
TP53_GOF	C19orf57	SNRPD1	0.233	0.336	-0.103	0.002
TP53_GOF	C19orf57	SRP54	0.382	0.495	-0.113	0.000
TP53_GOF	C19orf57	SSR4	0.145	0.274	-0.129	0.000
TP53_GOF	C19orf57	UBL5	0.187	0.287	-0.100	0.002
TP53_GOF	C19orf71	VWC2	0.152	0.275	-0.123	0.002
TP53_GOF	C19orf84	G6PC2	0.174	0.287	-0.113	0.000
TP53_GOF	C19orf84	PNMA2	0.255	0.134	0.121	0.000
TP53_GOF	C1D	CAPZA1	0.171	0.282	-0.111	0.001
TP53_GOF	C1D	ZNF285	0.176	0.291	-0.116	0.000
TP53_GOF	C1GALT1	SYT1	0.147	0.264	-0.116	0.000
TP53_GOF	C1QBP	FHL3	0.167	0.274	-0.107	0.001
TP53_GOF	C1QBP	JMJD7	0.191	0.294	-0.103	0.000
TP53_GOF	C1QBP	LCN9	0.155	0.262	-0.107	0.000
TP53_GOF	C1QBP	MCUR1	0.183	0.311	-0.128	0.000
TP53_GOF	C1QBP	OSR1	0.157	0.288	-0.131	0.000
TP53_GOF	C1QTNF2	TNKS1BP1	0.153	0.253	-0.101	0.000
TP53_GOF	C1QTNF3	EPO	0.180	0.281	-0.101	0.000
TP53_GOF	C1QTNF4	OCLN	0.127	0.257	-0.130	0.000
TP53_GOF	C1QTNF4	TFR2	0.153	0.254	-0.101	0.001
TP53_GOF	C1QTNF5	DCUN1D4	0.180	0.291	-0.111	0.002
TP53_GOF	C1QTNF5	EGR3	0.149	0.252	-0.103	0.001
TP53_GOF	C1QTNF5	ERCC2	0.152	0.264	-0.112	0.000
TP53_GOF	C1QTNF5	NAT10	0.285	0.391	-0.106	0.001
TP53_GOF	C1QTNF5	ZNF574	0.140	0.248	-0.108	0.001
TP53_GOF	C1QTNF6	FNDC5	0.231	0.347	-0.117	0.000
TP53_GOF	C1QTNF6	MS4A8	0.150	0.261	-0.110	0.000
TP53_GOF	C1QTNF9	FAM166B	0.203	0.302	-0.100	0.000
TP53_GOF	C1QTNF9B	RNF38	0.155	0.256	-0.101	0.002
TP53_GOF	C1RL	ERAL1	0.179	0.286	-0.107	0.000
TP53_GOF	C1RL	MRPL48	0.189	0.291	-0.102	0.001
TP53_GOF	C1RL	TAMM41	0.124	0.255	-0.130	0.000
TP53_GOF	C1orf100	CD200R1L	0.168	0.283	-0.115	0.001
TP53_GOF	C1orf100	NFKBID	0.278	0.392	-0.114	0.002
TP53_GOF	C1orf109	NCAPD3	0.136	0.252	-0.116	0.001
TP53_GOF	C1orf109	PAGR1	0.171	0.274	-0.103	0.001
TP53_GOF	C1orf127	PRDM14	0.232	0.339	-0.107	0.002
TP53_GOF	C1orf127	RPS6KC1	0.183	0.288	-0.104	0.000
TP53_GOF	C1orf127	TK1	0.145	0.252	-0.107	0.001
TP53_GOF	C1orf141	CAMK1G	0.128	0.248	-0.120	0.000
TP53_GOF	C1orf146	ZNF563	0.182	0.290	-0.107	0.001
TP53_GOF	C1orf162	IFNA8	0.157	0.262	-0.106	0.000
TP53_GOF	C1orf162	PLEKHS1	0.181	0.284	-0.103	0.000
TP53_GOF	C1orf174	RELT	0.155	0.261	-0.107	0.000
TP53_GOF	C1orf189	RBMS2	0.152	0.256	-0.104	0.001
TP53_GOF	C1orf194	ESRP2	0.150	0.259	-0.109	0.001
TP53_GOF	C1orf194	FBXO36	0.191	0.299	-0.108	0.000
TP53_GOF	C1orf194	IRX6	0.201	0.306	-0.105	0.001
TP53_GOF	C1orf210	CCDC58	0.134	0.249	-0.115	0.001
TP53_GOF	C1orf210	CSDC2	0.184	0.294	-0.110	0.001
TP53_GOF	C1orf226	FGFBP3	0.117	0.287	-0.170	0.002
TP53_GOF	C1orf43	GTSF1	0.214	0.320	-0.105	0.001
TP53_GOF	C1orf43	PYDC1	0.162	0.264	-0.103	0.002
TP53_GOF	C1orf53	FAM76B	0.213	0.323	-0.110	0.001
TP53_GOF	C1orf54	CARD14	0.162	0.269	-0.106	0.000
TP53_GOF	C1orf54	GMPR2	0.153	0.254	-0.101	0.002
TP53_GOF	C1orf56	GNL3L	0.139	0.264	-0.125	0.000
TP53_GOF	C1orf56	TOR4A	0.146	0.249	-0.104	0.000
TP53_GOF	C1orf61	EHD3	0.147	0.251	-0.104	0.001
TP53_GOF	C1orf87	TMEM69	0.147	0.263	-0.116	0.000
TP53_GOF	C20orf173	CABLES1	0.124	0.253	-0.129	0.000
TP53_GOF	C20orf173	PAK6	0.163	0.278	-0.115	0.000
TP53_GOF	C20orf85	FBXO31	0.261	0.157	0.104	0.001
TP53_GOF	C20orf85	LYN	0.099	0.257	-0.158	0.000
TP53_GOF	C20orf85	NCLN	0.164	0.277	-0.113	0.000
TP53_GOF	C20orf85	SHISA9	0.252	0.143	0.109	0.001
TP53_GOF	C20orf85	STC2	0.165	0.268	-0.103	0.002
TP53_GOF	C22orf23	PI4K2A	0.231	0.348	-0.118	0.000
TP53_GOF	C22orf23	PLPPR3	0.110	0.258	-0.147	0.000
TP53_GOF	C22orf23	PSMG3	0.163	0.265	-0.102	0.001
TP53_GOF	C22orf23	SRFBP1	0.144	0.251	-0.106	0.000
TP53_GOF	C22orf23	WDR38	0.176	0.284	-0.109	0.001
TP53_GOF	C2CD4A	GPR62	0.308	0.171	0.137	0.002
TP53_GOF	C2CD4A	TRPV4	0.154	0.271	-0.117	0.000
TP53_GOF	C2CD4C	FBXO45	0.170	0.274	-0.104	0.002
TP53_GOF	C2CD5	PSMB5	0.160	0.264	-0.104	0.001
TP53_GOF	C2CD6	VWA2	0.143	0.268	-0.125	0.000
TP53_GOF	C2orf15	MIEN1	0.181	0.290	-0.109	0.000
TP53_GOF	C2orf16	IQCF3	0.140	0.253	-0.113	0.000
TP53_GOF	C2orf49	CASP6	0.135	0.259	-0.124	0.000
TP53_GOF	C2orf49	NABP1	0.189	0.293	-0.104	0.002
TP53_GOF	C2orf50	SYNDIG1L	0.192	0.295	-0.103	0.001
TP53_GOF	C2orf68	GOLIM4	0.125	0.253	-0.127	0.001
TP53_GOF	C2orf68	METTL17	0.185	0.289	-0.104	0.001
TP53_GOF	C2orf68	PHLDA2	0.156	0.267	-0.111	0.000
TP53_GOF	C2orf68	PRRT2	0.165	0.286	-0.121	0.002
TP53_GOF	C2orf68	REEP1	0.224	0.326	-0.101	0.000
TP53_GOF	C2orf68	SELENOS	0.114	0.249	-0.136	0.000
TP53_GOF	C2orf68	TPH2	0.265	0.371	-0.106	0.001
TP53_GOF	C2orf69	MTURN	0.138	0.268	-0.130	0.001
TP53_GOF	C2orf73	TFDP2	0.146	0.268	-0.121	0.001
TP53_GOF	C2orf76	KLHL13	0.337	0.202	0.134	0.000
TP53_GOF	C2orf76	MAGEB18	0.272	0.136	0.136	0.001
TP53_GOF	C2orf76	TMEM167A	0.460	0.346	0.114	0.002
TP53_GOF	C2orf76	ZNF501	0.269	0.168	0.100	0.000
TP53_GOF	C2orf78	NODAL	0.150	0.261	-0.111	0.001
TP53_GOF	C2orf91	CHRNA2	0.264	0.369	-0.105	0.000
TP53_GOF	C2orf91	CXCR2	0.156	0.267	-0.112	0.000
TP53_GOF	C2orf91	IRF6	0.265	0.365	-0.100	0.000
TP53_GOF	C2orf91	OR6A2	0.155	0.260	-0.105	0.000
TP53_GOF	C2orf91	OR7G1	0.258	0.359	-0.101	0.001
TP53_GOF	C3AR1	KLK11	0.154	0.264	-0.110	0.000
TP53_GOF	C3AR1	RTN4RL2	0.128	0.252	-0.124	0.001
TP53_GOF	C3orf36	CCT3	0.164	0.268	-0.105	0.002
TP53_GOF	C3orf36	CHMP3	0.168	0.269	-0.101	0.001
TP53_GOF	C3orf36	MTREX	0.132	0.268	-0.136	0.000
TP53_GOF	C3orf36	MYLPF	0.174	0.274	-0.100	0.001
TP53_GOF	C3orf36	PGGT1B	0.241	0.342	-0.101	0.000
TP53_GOF	C3orf36	STX7	0.167	0.266	-0.100	0.001
TP53_GOF	C3orf36	TUBGCP2	0.159	0.268	-0.109	0.000
TP53_GOF	C3orf84	CSDC2	0.157	0.291	-0.133	0.000
TP53_GOF	C3orf84	ENTPD6	0.144	0.266	-0.122	0.000
TP53_GOF	C4orf36	DENND2C	0.130	0.258	-0.129	0.002
TP53_GOF	C4orf46	RHBDL2	0.161	0.286	-0.125	0.001
TP53_GOF	C4orf46	RP2	0.137	0.253	-0.116	0.000
TP53_GOF	C4orf46	SRI	0.164	0.282	-0.118	0.001
TP53_GOF	C4orf46	YWHAB	0.192	0.295	-0.103	0.001
TP53_GOF	C5	EGR3	0.143	0.248	-0.105	0.000
TP53_GOF	C5	HEMGN	0.144	0.251	-0.107	0.002
TP53_GOF	C5	KLRC1	0.163	0.279	-0.117	0.001
TP53_GOF	C5	RBCK1	0.162	0.276	-0.114	0.001
TP53_GOF	C5	SAMD7	0.153	0.257	-0.104	0.000
TP53_GOF	C5	STX7	0.182	0.294	-0.111	0.001
TP53_GOF	C5AR1	ECT2L	0.151	0.262	-0.111	0.000
TP53_GOF	C5AR1	TRAPPC11	0.129	0.250	-0.121	0.001
TP53_GOF	C5AR2	SLC16A14	0.238	0.377	-0.140	0.000
TP53_GOF	C5AR2	SRP9	0.201	0.304	-0.102	0.000
TP53_GOF	C5orf24	FCRLA	0.164	0.265	-0.101	0.000
TP53_GOF	C5orf24	MYO19	0.158	0.261	-0.102	0.001
TP53_GOF	C5orf24	SPG21	0.155	0.262	-0.107	0.000
TP53_GOF	C5orf34	TLK1	0.193	0.308	-0.116	0.000
TP53_GOF	C6orf118	RAD51	0.146	0.249	-0.103	0.000
TP53_GOF	C6orf136	CCND3	0.139	0.256	-0.117	0.001
TP53_GOF	C6orf136	COQ4	0.129	0.265	-0.136	0.000
TP53_GOF	C6orf136	COX11	0.154	0.254	-0.100	0.002
TP53_GOF	C6orf136	METTL17	0.172	0.277	-0.105	0.000
TP53_GOF	C6orf136	MRPS18B	0.205	0.315	-0.110	0.000
TP53_GOF	C6orf136	NDUFAF4	0.114	0.261	-0.147	0.000
TP53_GOF	C6orf136	NDUFB10	0.157	0.282	-0.125	0.000
TP53_GOF	C6orf136	NDUFS8	0.118	0.258	-0.140	0.000
TP53_GOF	C6orf136	SCAF4	0.139	0.257	-0.118	0.000
TP53_GOF	C6orf136	SLC39A4	0.148	0.252	-0.104	0.002
TP53_GOF	C6orf136	YARS2	0.154	0.262	-0.108	0.000
TP53_GOF	C6orf15	CD53	0.133	0.282	-0.149	0.000
TP53_GOF	C6orf15	CWC22	0.133	0.260	-0.128	0.000
TP53_GOF	C6orf15	DIXDC1	0.123	0.251	-0.128	0.002
TP53_GOF	C6orf15	PGLYRP3	0.193	0.309	-0.116	0.001
TP53_GOF	C6orf15	SNRPD1	0.148	0.283	-0.135	0.000
TP53_GOF	C6orf15	TMA16	0.127	0.254	-0.127	0.000
TP53_GOF	C6orf15	TP53I11	0.182	0.300	-0.118	0.000
TP53_GOF	C6orf15	WDR12	0.139	0.265	-0.126	0.001
TP53_GOF	C6orf163	GPR139	0.173	0.277	-0.105	0.000
TP53_GOF	C6orf163	PMFBP1	0.151	0.279	-0.127	0.000
TP53_GOF	C6orf201	PXN	0.101	0.278	-0.177	0.000
TP53_GOF	C6orf226	SCG5	0.197	0.326	-0.129	0.000
TP53_GOF	C6orf47	TOMM5	0.149	0.255	-0.106	0.000
TP53_GOF	C7	KCNG1	0.198	0.302	-0.104	0.001
TP53_GOF	C7orf26	MAPKAPK3	0.175	0.278	-0.103	0.000
TP53_GOF	C7orf26	SEC23B	0.157	0.268	-0.111	0.001
TP53_GOF	C7orf50	WDR70	0.252	0.148	0.104	0.001
TP53_GOF	C7orf57	GPR82	0.294	0.146	0.148	0.002
TP53_GOF	C7orf61	CASP7	0.134	0.255	-0.120	0.000
TP53_GOF	C8A	CCDC42	0.164	0.271	-0.107	0.002
TP53_GOF	C8B	HNF4A	0.158	0.267	-0.109	0.002
TP53_GOF	C8orf33	DKK1	0.179	0.306	-0.126	0.000
TP53_GOF	C8orf33	DPAGT1	0.143	0.256	-0.113	0.002
TP53_GOF	C8orf34	RAB38	0.132	0.249	-0.117	0.000
TP53_GOF	C8orf34	SP8	0.144	0.261	-0.117	0.000
TP53_GOF	C8orf37	COMMD8	0.199	0.316	-0.117	0.002
TP53_GOF	C8orf37	GCC2	0.144	0.254	-0.110	0.002
TP53_GOF	C8orf37	H2BC13	0.144	0.254	-0.110	0.002
TP53_GOF	C8orf37	H3C7	0.156	0.265	-0.108	0.002
TP53_GOF	C8orf37	LCMT2	0.243	0.383	-0.140	0.000
TP53_GOF	C8orf37	NISCH	0.238	0.358	-0.120	0.000
TP53_GOF	C8orf37	PCMT1	0.166	0.286	-0.120	0.000
TP53_GOF	C8orf37	PKP3	0.174	0.283	-0.109	0.002
TP53_GOF	C8orf44	CWH43	0.188	0.293	-0.105	0.000
TP53_GOF	C8orf44	GHRH	0.193	0.309	-0.116	0.000
TP53_GOF	C8orf44	LRRC32	0.181	0.291	-0.110	0.001
TP53_GOF	C8orf44	LRRC3B	0.147	0.248	-0.101	0.000
TP53_GOF	C8orf44	TMEM119	0.168	0.270	-0.102	0.001
TP53_GOF	C8orf44	WDYHV1	0.126	0.248	-0.122	0.001
TP53_GOF	C8orf76	DNAJC9	0.172	0.279	-0.107	0.000
TP53_GOF	C8orf76	EGR4	0.137	0.260	-0.122	0.002
TP53_GOF	C8orf76	FAAP20	0.167	0.310	-0.143	0.000
TP53_GOF	C8orf76	FAM177A1	0.275	0.376	-0.101	0.002
TP53_GOF	C8orf76	MAP3K20	0.146	0.250	-0.104	0.000
TP53_GOF	C8orf76	MARS2	0.179	0.281	-0.101	0.001
TP53_GOF	C8orf76	METTL23	0.195	0.302	-0.107	0.000
TP53_GOF	C8orf76	MRFAP1L1	0.289	0.397	-0.107	0.000
TP53_GOF	C8orf76	MRPL27	0.175	0.286	-0.111	0.001
TP53_GOF	C8orf76	NEK2	0.168	0.288	-0.120	0.001
TP53_GOF	C8orf76	NIP7	0.157	0.277	-0.120	0.000
TP53_GOF	C8orf76	NSUN5	0.141	0.252	-0.111	0.000
TP53_GOF	C8orf76	PI4K2A	0.202	0.318	-0.116	0.001
TP53_GOF	C8orf76	PSCA	0.172	0.272	-0.100	0.002
TP53_GOF	C8orf76	PSPC1	0.204	0.315	-0.111	0.000
TP53_GOF	C8orf76	RRAD	0.149	0.285	-0.136	0.000
TP53_GOF	C8orf76	SMIM7	0.166	0.281	-0.115	0.001
TP53_GOF	C8orf76	SPAG4	0.139	0.259	-0.120	0.001
TP53_GOF	C8orf76	WDR54	0.229	0.350	-0.121	0.000
TP53_GOF	C8orf76	YARS2	0.139	0.256	-0.117	0.001
TP53_GOF	C8orf88	ELFN1	0.277	0.383	-0.105	0.000
TP53_GOF	C8orf88	KCNK2	0.143	0.254	-0.111	0.001
TP53_GOF	C9	FBXO36	0.206	0.340	-0.135	0.000
TP53_GOF	C9orf116	HSF2BP	0.142	0.334	-0.191	0.001
TP53_GOF	C9orf116	PRCD	0.147	0.310	-0.163	0.001
TP53_GOF	C9orf40	PMS2	0.159	0.292	-0.133	0.000
TP53_GOF	C9orf47	TRNP1	0.145	0.253	-0.108	0.000
TP53_GOF	C9orf50	FUOM	0.117	0.256	-0.139	0.001
TP53_GOF	C9orf50	OR2T12	0.116	0.250	-0.134	0.001
TP53_GOF	C9orf57	CCDC153	0.198	0.311	-0.113	0.001
TP53_GOF	C9orf57	OR1L1	0.183	0.291	-0.108	0.000
TP53_GOF	C9orf57	SDC1	0.251	0.374	-0.123	0.000
TP53_GOF	C9orf57	SLC26A11	0.266	0.372	-0.106	0.000
TP53_GOF	C9orf57	TRERF1	0.123	0.254	-0.131	0.000
TP53_GOF	C9orf57	ZNF284	0.185	0.285	-0.100	0.001
TP53_GOF	C9orf64	GDF7	0.136	0.257	-0.122	0.001
TP53_GOF	C9orf64	HLA-E	0.164	0.275	-0.112	0.001
TP53_GOF	C9orf72	GCM1	0.179	0.281	-0.102	0.000
TP53_GOF	CA11	CAMK2G	0.166	0.273	-0.108	0.002
TP53_GOF	CA11	MLANA	0.167	0.274	-0.106	0.001
TP53_GOF	CA12	LRFN4	0.132	0.287	-0.154	0.001
TP53_GOF	CA12	TFR2	0.185	0.306	-0.121	0.002
TP53_GOF	CA3	MAPK1IP1L	0.151	0.252	-0.100	0.002
TP53_GOF	CA5B	SCYL3	0.185	0.296	-0.111	0.002
TP53_GOF	CA6	CD38	0.161	0.271	-0.110	0.000
TP53_GOF	CA6	H4C7	0.304	0.178	0.127	0.000
TP53_GOF	CA6	YAE1	0.139	0.255	-0.117	0.000
TP53_GOF	CA8	MAP7D2	0.108	0.286	-0.178	0.000
TP53_GOF	CA8	MCF2L2	0.199	0.360	-0.161	0.002
TP53_GOF	CAB39	CCNC	0.166	0.268	-0.102	0.000
TP53_GOF	CAB39	PAX5	0.137	0.248	-0.111	0.002
TP53_GOF	CABCOCO1	USP33	0.149	0.256	-0.107	0.002
TP53_GOF	CABLES2	CNNM3	0.173	0.282	-0.109	0.002
TP53_GOF	CABP5	DEFB108B	0.159	0.261	-0.102	0.000
TP53_GOF	CABP5	MN1	0.163	0.273	-0.110	0.000
TP53_GOF	CABP5	SLFN13	0.145	0.253	-0.108	0.000
TP53_GOF	CABP5	UBE2V1	0.142	0.251	-0.109	0.001
TP53_GOF	CACFD1	ZNF334	0.157	0.269	-0.112	0.001
TP53_GOF	CACNA1D	MCF2L2	0.132	0.281	-0.149	0.001
TP53_GOF	CACNA1D	TMEM132A	0.124	0.278	-0.154	0.001
TP53_GOF	CACNA1I	NEU3	0.199	0.305	-0.105	0.000
TP53_GOF	CACNA2D3	CIB2	0.154	0.289	-0.135	0.002
TP53_GOF	CACNA2D3	CYRIA	0.162	0.332	-0.170	0.001
TP53_GOF	CACNA2D3	DEFB118	0.116	0.248	-0.132	0.000
TP53_GOF	CACNA2D3	FGF22	0.263	0.409	-0.146	0.000
TP53_GOF	CACNA2D3	NUDT3	0.190	0.302	-0.112	0.001
TP53_GOF	CACNA2D3	OR1F1	0.155	0.275	-0.120	0.000
TP53_GOF	CACNA2D3	PTPRT	0.206	0.336	-0.130	0.001
TP53_GOF	CACNA2D3	TTLL1	0.116	0.259	-0.143	0.000
TP53_GOF	CACNG3	PAQR5	0.170	0.269	-0.100	0.000
TP53_GOF	CACNG3	SLC12A1	0.157	0.262	-0.105	0.001
TP53_GOF	CACNG5	ICA1	0.117	0.254	-0.138	0.000
TP53_GOF	CACNG8	NDUFB1	0.108	0.248	-0.139	0.001
TP53_GOF	CACNG8	ODAPH	0.149	0.282	-0.133	0.001
TP53_GOF	CADM2	CEP76	0.171	0.292	-0.121	0.001
TP53_GOF	CADM2	EID3	0.113	0.260	-0.147	0.000
TP53_GOF	CADM2	GUF1	0.170	0.312	-0.142	0.002
TP53_GOF	CADM2	LGALS12	0.135	0.252	-0.118	0.001
TP53_GOF	CADM2	PRKCB	0.120	0.255	-0.134	0.000
TP53_GOF	CADM2	TCTN2	0.148	0.256	-0.108	0.002
TP53_GOF	CADM4	PLG	0.182	0.292	-0.110	0.001
TP53_GOF	CADPS2	RGS11	0.147	0.307	-0.159	0.001
TP53_GOF	CALB1	FAM153B	0.150	0.265	-0.115	0.001
TP53_GOF	CALB2	CALHM5	0.142	0.258	-0.116	0.000
TP53_GOF	CALHM1	MIP	0.174	0.288	-0.113	0.000
TP53_GOF	CALHM5	VSTM2A	0.119	0.250	-0.131	0.000
TP53_GOF	CALML5	FOXO4	0.131	0.252	-0.121	0.002
TP53_GOF	CALML5	SLC25A18	0.174	0.277	-0.103	0.002
TP53_GOF	CALN1	CEACAM8	0.117	0.249	-0.132	0.001
TP53_GOF	CAMK1G	CYP19A1	0.148	0.272	-0.124	0.001
TP53_GOF	CAMK1G	DCT	0.180	0.282	-0.102	0.001
TP53_GOF	CAMK1G	EXOSC9	0.170	0.270	-0.101	0.000
TP53_GOF	CAMK1G	FBN1	0.261	0.365	-0.104	0.001
TP53_GOF	CAMK1G	HDGFL1	0.214	0.356	-0.142	0.000
TP53_GOF	CAMK1G	LIN52	0.344	0.446	-0.102	0.001
TP53_GOF	CAMK1G	POLR1A	0.209	0.322	-0.113	0.000
TP53_GOF	CAMK1G	SLC39A11	0.130	0.257	-0.127	0.000
TP53_GOF	CAMK1G	YJU2	0.202	0.304	-0.102	0.000
TP53_GOF	CAMK2G	CEP72	0.133	0.252	-0.118	0.001
TP53_GOF	CAMK2G	CREB3L4	0.135	0.248	-0.113	0.000
TP53_GOF	CAMK2G	INPP4B	0.131	0.254	-0.123	0.001
TP53_GOF	CAMK2G	MIB1	0.190	0.298	-0.107	0.000
TP53_GOF	CAMK2G	MIEN1	0.208	0.325	-0.117	0.001
TP53_GOF	CAMK2G	NCLN	0.136	0.254	-0.118	0.002
TP53_GOF	CAMK2G	NINJ1	0.182	0.295	-0.112	0.001
TP53_GOF	CAMK2G	TRADD	0.140	0.265	-0.124	0.001
TP53_GOF	CAMK2N2	CFAP298	0.147	0.259	-0.112	0.000
TP53_GOF	CAMKK1	CXCL10	0.221	0.328	-0.107	0.002
TP53_GOF	CAMKK1	FUBP3	0.148	0.250	-0.101	0.002
TP53_GOF	CAMKK1	GAP43	0.123	0.248	-0.124	0.000
TP53_GOF	CAMKK1	LDHA	0.140	0.250	-0.110	0.001
TP53_GOF	CAMKK1	PHKA2	0.190	0.297	-0.108	0.000
TP53_GOF	CAMKK1	ZSWIM3	0.112	0.256	-0.144	0.000
TP53_GOF	CAMKK2	CYP19A1	0.119	0.257	-0.138	0.000
TP53_GOF	CAMKK2	DPP3	0.124	0.262	-0.138	0.002
TP53_GOF	CAMKK2	FSHR	0.174	0.280	-0.107	0.000
TP53_GOF	CAMKK2	HADHA	0.181	0.283	-0.102	0.000
TP53_GOF	CAMKK2	SYNE4	0.152	0.267	-0.115	0.001
TP53_GOF	CAMKV	VSX2	0.205	0.306	-0.101	0.001
TP53_GOF	CAND2	TSSK4	0.189	0.337	-0.148	0.000
TP53_GOF	CAND2	TTYH3	0.148	0.249	-0.101	0.001
TP53_GOF	CAPN1	MPND	0.169	0.279	-0.110	0.000
TP53_GOF	CAPN1	PGAM5	0.160	0.263	-0.103	0.000
TP53_GOF	CAPN1	PKP3	0.156	0.261	-0.105	0.002
TP53_GOF	CAPN1	PTPMT1	0.181	0.298	-0.117	0.000
TP53_GOF	CAPN1	SOX18	0.149	0.274	-0.125	0.000
TP53_GOF	CAPN1	ZCCHC4	0.210	0.315	-0.105	0.002
TP53_GOF	CAPN11	CFAP157	0.155	0.262	-0.107	0.000
TP53_GOF	CAPN11	KCNK7	0.172	0.282	-0.109	0.001
TP53_GOF	CAPN11	PCDHGA10	0.180	0.295	-0.115	0.000
TP53_GOF	CAPN11	PKP3	0.157	0.281	-0.124	0.000
TP53_GOF	CAPN11	SLC46A3	0.164	0.264	-0.100	0.001
TP53_GOF	CAPN11	TMIGD3	0.148	0.248	-0.100	0.002
TP53_GOF	CAPN14	XDH	0.231	0.347	-0.115	0.000
TP53_GOF	CAPN2	MIEF1	0.237	0.397	-0.160	0.000
TP53_GOF	CAPN2	MTUS2	0.122	0.277	-0.155	0.000
TP53_GOF	CAPN2	RAB39B	0.180	0.309	-0.128	0.002
TP53_GOF	CAPN3	WIPF2	0.128	0.254	-0.126	0.001
TP53_GOF	CAPN6	MTUS2	0.164	0.302	-0.138	0.000
TP53_GOF	CAPN9	OR4K1	0.164	0.271	-0.107	0.002
TP53_GOF	CAPNS1	CKS2	0.132	0.282	-0.150	0.000
TP53_GOF	CAPS2	PGBD4	0.249	0.138	0.111	0.000
TP53_GOF	CAPZA1	PFKM	0.210	0.329	-0.120	0.000
TP53_GOF	CAPZA1	SLC39A11	0.148	0.268	-0.120	0.000
TP53_GOF	CAPZA1	VAC14	0.160	0.272	-0.112	0.000
TP53_GOF	CAPZA3	CCDC174	0.157	0.261	-0.103	0.002
TP53_GOF	CAPZA3	SLC38A9	0.151	0.253	-0.101	0.001
TP53_GOF	CAPZA3	STAP1	0.177	0.287	-0.110	0.000
TP53_GOF	CAPZA3	VCP	0.183	0.293	-0.109	0.001
TP53_GOF	CAPZB	SMC1A	0.135	0.248	-0.113	0.002
TP53_GOF	CARD11	GANC	0.152	0.253	-0.101	0.001
TP53_GOF	CARD14	CLK4	0.136	0.261	-0.125	0.000
TP53_GOF	CARD14	FYCO1	0.232	0.333	-0.101	0.000
TP53_GOF	CARD16	ERICH6	0.160	0.279	-0.119	0.000
TP53_GOF	CARD16	H3C4	0.111	0.269	-0.158	0.000
TP53_GOF	CARD16	H4C3	0.175	0.280	-0.105	0.001
TP53_GOF	CARD6	CCDC171	0.142	0.270	-0.128	0.000
TP53_GOF	CARD6	COX5B	0.137	0.281	-0.144	0.000
TP53_GOF	CARD6	KLHL28	0.182	0.330	-0.148	0.000
TP53_GOF	CARD6	LYG2	0.145	0.248	-0.103	0.000
TP53_GOF	CARD6	METTL17	0.174	0.292	-0.118	0.000
TP53_GOF	CARD6	MSRB2	0.161	0.260	-0.100	0.002
TP53_GOF	CARD6	PHPT1	0.147	0.252	-0.105	0.001
TP53_GOF	CARD6	RAP2B	0.133	0.254	-0.121	0.000
TP53_GOF	CARD6	RPUSD3	0.199	0.320	-0.121	0.002
TP53_GOF	CARD6	SFTPC	0.138	0.260	-0.122	0.000
TP53_GOF	CARD6	TMEM154	0.300	0.407	-0.107	0.002
TP53_GOF	CARD6	TXLNA	0.194	0.294	-0.100	0.002
TP53_GOF	CARD8	SLC22A25	0.195	0.300	-0.105	0.001
TP53_GOF	CARHSP1	FUBP3	0.176	0.284	-0.107	0.000
TP53_GOF	CARHSP1	MLH3	0.149	0.254	-0.105	0.000
TP53_GOF	CARNMT1	IFI27L2	0.173	0.283	-0.110	0.000
TP53_GOF	CARNMT1	NUBP2	0.143	0.251	-0.109	0.001
TP53_GOF	CARS1	LGALS9	0.163	0.281	-0.118	0.000
TP53_GOF	CARS1	LY6G5B	0.140	0.249	-0.109	0.000
TP53_GOF	CARS1	POLR2H	0.230	0.362	-0.132	0.000
TP53_GOF	CARS2	SDHD	0.221	0.329	-0.107	0.001
TP53_GOF	CASC1	DYNC1I2	0.216	0.322	-0.106	0.000
TP53_GOF	CASC1	S100A7	0.156	0.263	-0.107	0.000
TP53_GOF	CASC1	TCP10	0.184	0.305	-0.122	0.000
TP53_GOF	CASC1	VCP	0.205	0.315	-0.110	0.001
TP53_GOF	CASD1	PGAM1	0.142	0.263	-0.122	0.000
TP53_GOF	CASP10	GIMAP6	0.197	0.310	-0.113	0.002
TP53_GOF	CASP10	ZNF20	0.209	0.309	-0.101	0.000
TP53_GOF	CASP14	GFI1B	0.300	0.159	0.141	0.000
TP53_GOF	CASP8	ELOVL6	0.148	0.257	-0.109	0.000
TP53_GOF	CASR	CD53	0.193	0.296	-0.103	0.001
TP53_GOF	CASR	CLMN	0.180	0.302	-0.122	0.000
TP53_GOF	CASR	LCE6A	0.152	0.275	-0.123	0.002
TP53_GOF	CASR	TCEAL9	0.235	0.335	-0.100	0.001
TP53_GOF	CASTOR1	LGI3	0.121	0.254	-0.133	0.001
