Condition	Gene1	Gene2	PCC_all	PCC_L1out	dPCC	Pval
IBTK_LOF	ANKRD10	FSCN1	0.265	0.157	0.108	0.001
IBTK_LOF	APOO	FUT5	0.251	0.058	0.193	0.001
IBTK_LOF	AZU1	PIK3R3	0.264	0.163	0.100	0.000
IBTK_LOF	C17orf97	MUC17	0.265	0.141	0.124	0.001
IBTK_LOF	C17orf97	RGCC	0.271	0.159	0.112	0.001
IBTK_LOF	C4orf36	FUT5	0.253	0.063	0.190	0.001
IBTK_LOF	CCDC14	NID1	0.264	0.148	0.116	0.001
IBTK_LOF	CCDC14	TNFSF11	0.279	0.141	0.138	0.001
IBTK_LOF	CFAP46	PIK3R3	0.249	0.080	0.169	0.001
IBTK_LOF	EHD4	FUT5	0.265	0.134	0.131	0.001
IBTK_LOF	FSCN1	HSPA6	0.266	0.162	0.104	0.000
IBTK_LOF	FSCN1	PLD1	0.253	0.128	0.124	0.000
IBTK_LOF	FSCN1	SIGLEC6	0.265	0.141	0.124	0.000
IBTK_LOF	FSCN1	ZNF579	0.259	0.145	0.114	0.000
IBTK_LOF	FUT5	GRXCR2	0.278	0.179	0.100	0.000
IBTK_LOF	FUT5	ZNF845	0.277	0.166	0.112	0.001
IBTK_LOF	GATD1	SMIM29	0.256	0.153	0.103	0.000
IBTK_LOF	GPR35	GSDMB	0.248	0.146	0.101	0.001
IBTK_LOF	GPR35	MCF2L2	0.251	0.097	0.154	0.000
IBTK_LOF	HSD17B14	IGIP	0.255	0.147	0.108	0.001
IBTK_LOF	IGIP	OR8B3	0.340	0.216	0.125	0.001
IBTK_LOF	ITPRID1	MAMDC4	0.282	0.162	0.120	0.000
IBTK_LOF	LTK	MAMDC4	0.254	0.138	0.116	0.000
IBTK_LOF	MAMDC4	PIK3R3	0.290	0.161	0.129	0.001
IBTK_LOF	MIEF1	STAG3	0.276	0.164	0.113	0.001
IBTK_LOF	MUC17	OSGIN2	0.257	0.143	0.114	0.001
IBTK_LOF	MUC17	PIK3R3	0.271	0.111	0.160	0.000
IBTK_LOF	MUC17	SCGB3A1	0.248	0.134	0.114	0.000
IBTK_LOF	MUC17	ZNF845	0.267	0.162	0.105	0.001
IBTK_LOF	PIK3R3	SIGLEC6	0.277	0.154	0.123	0.000
IBTK_LOF	PIK3R3	ZNF845	0.296	0.191	0.105	0.001
INVS_LOF	BCAS3	C1orf100	0.309	0.206	0.102	0.000
KDM6A_LOF	CCND2	MAF	0.266	0.156	0.110	0.000
KDM6A_LOF	IRF2	MAF	0.289	0.163	0.126	0.000
KDM6A_LOF	MAF	PIM2	0.337	0.206	0.131	0.000
KDM6A_LOF	MAF	SLC38A5	0.275	0.127	0.148	0.000
KDM6A_LOF	SLC38A5	ZBTB38	0.256	0.150	0.106	0.000
KEAP1_LOF	SMIM12	TMEM35B	0.289	0.131	0.158	0.001
KIF15_LOF	ABCA5	PTPRT	0.257	0.125	0.132	0.001
KIF15_LOF	GATA1	LMO2	0.382	0.271	0.112	0.000
KIF15_LOF	H2BU1	TMEM154	0.263	0.155	0.109	0.000
KIF15_LOF	H2BU1	TYW5	0.249	0.134	0.115	0.000
KIF15_LOF	HMX1	PDGFB	0.282	0.135	0.147	0.001
KMT2A_LOF	BMP7	RHOB	0.259	0.144	0.115	0.000
KMT2C_LOF	RASSF8	TULP3	0.256	0.153	0.103	0.001
KRAS_GOF	ADGRE5	RNF34	0.312	0.203	0.108	0.001
KRAS_GOF	ARHGAP45	FDX1	0.183	0.289	-0.106	0.000
KRAS_GOF	ARL16	FHL3	0.316	0.187	0.129	0.001
KRAS_GOF	ARL16	LRRCC1	0.249	0.145	0.103	0.000
KRAS_GOF	ARL16	TBXA2R	0.248	0.096	0.152	0.001
KRAS_GOF	BANK1	PAIP2	0.141	0.248	-0.107	0.000
KRAS_GOF	C17orf97	FGFBP3	0.250	0.127	0.124	0.001
KRAS_GOF	C1QC	OR1K1	0.165	0.266	-0.100	0.000
KRAS_GOF	C1QC	ZNF169	0.143	0.249	-0.106	0.001
KRAS_GOF	CAPN2	PKN3	0.250	0.037	0.213	0.000
KRAS_GOF	CASC1	KRAS	0.342	0.153	0.189	0.000
KRAS_GOF	CCDC14	GALNT7	0.254	0.059	0.195	0.001
KRAS_GOF	CCDC14	SPHK1	0.259	0.119	0.140	0.001
KRAS_GOF	CENPA	FDX1	0.310	0.210	0.100	0.000
KRAS_GOF	CFAP161	ST3GAL4	0.267	0.013	0.253	0.001
KRAS_GOF	CHGA	KCNK13	0.144	0.257	-0.113	0.000
KRAS_GOF	CLDN19	PIK3R3	0.153	0.285	-0.131	0.001
KRAS_GOF	CPN2	CYP4B1	0.254	0.147	0.108	0.000
KRAS_GOF	DBNDD2	FGFBP3	0.281	0.168	0.113	0.000
KRAS_GOF	DBNDD2	ITPRID1	0.325	0.223	0.102	0.000
KRAS_GOF	DBNDD2	MAMDC4	0.253	0.115	0.138	0.000
KRAS_GOF	DBNDD2	MT3	0.360	0.250	0.111	0.000
KRAS_GOF	DBNDD2	ZNF845	0.373	0.268	0.105	0.000
KRAS_GOF	DDC	FDX1	0.439	0.273	0.165	0.000
KRAS_GOF	DDC	KCNK13	0.617	0.421	0.196	0.000
KRAS_GOF	DDC	NAT8L	0.425	0.155	0.271	0.000
KRAS_GOF	DDC	RDH10	0.324	0.147	0.176	0.000
KRAS_GOF	DDC	TNFRSF19	0.369	0.234	0.134	0.000
KRAS_GOF	DEF8	NAT8L	0.252	0.079	0.172	0.000
KRAS_GOF	DGKE	WDR83OS	0.266	0.148	0.118	0.000
KRAS_GOF	DOCK5	KRAS	0.367	0.181	0.186	0.000
KRAS_GOF	EED	ING5	0.173	0.276	-0.104	0.000
KRAS_GOF	EGFLAM	PGF	0.268	0.161	0.106	0.000
KRAS_GOF	EHD1	ZNF597	0.250	0.043	0.207	0.001
KRAS_GOF	EIF2S1	ZNF202	0.192	0.309	-0.117	0.000
KRAS_GOF	ELMO3	FERMT1	0.322	0.207	0.115	0.000
KRAS_GOF	ELMO3	ITGA3	0.329	0.218	0.111	0.000
KRAS_GOF	FDX1	KCNK13	0.510	0.271	0.239	0.000
KRAS_GOF	FDX1	LIPT2	0.137	0.249	-0.112	0.000
KRAS_GOF	FDX1	NAT8L	0.425	0.213	0.212	0.000
KRAS_GOF	FDX1	RDH10	0.285	0.145	0.140	0.000
KRAS_GOF	FDX1	SLC5A12	0.255	0.147	0.108	0.000
KRAS_GOF	FDX1	TNFRSF19	0.251	0.127	0.124	0.000
KRAS_GOF	FERMT1	KRAS	0.272	0.144	0.128	0.000
KRAS_GOF	FZD5	TMEM254	0.153	0.269	-0.117	0.000
KRAS_GOF	FZD5	WLS	0.254	0.016	0.238	0.000
KRAS_GOF	GCFC2	PTGES	0.261	0.145	0.116	0.000
KRAS_GOF	GOLPH3L	P4HTM	0.265	0.164	0.101	0.001
KRAS_GOF	GOLPH3L	PSMC2	0.158	0.257	-0.100	0.000
KRAS_GOF	GTF3C2	OR8B3	0.215	0.322	-0.108	0.000
KRAS_GOF	KCNK13	NAT8L	0.556	0.193	0.363	0.000
KRAS_GOF	KCNK13	PIK3CG	0.256	0.153	0.102	0.000
KRAS_GOF	KCNK13	RDH10	0.416	0.199	0.217	0.000
KRAS_GOF	KCNK13	SLC5A12	0.317	0.182	0.135	0.001
KRAS_GOF	KCNK13	TNFRSF19	0.391	0.217	0.174	0.000
KRAS_GOF	KCNK13	UCKL1	0.348	0.186	0.162	0.000
KRAS_GOF	KRAS	RAB10	0.261	0.132	0.130	0.000
KRAS_GOF	KRAS	RAF1	0.390	0.239	0.151	0.000
KRAS_GOF	KRAS	TCF7L2	0.250	0.114	0.136	0.000
KRAS_GOF	KRAS	TDG	0.257	0.115	0.142	0.000
KRAS_GOF	LBX1	MT3	0.276	0.171	0.105	0.001
KRAS_GOF	MAMDC4	MT3	0.292	0.146	0.147	0.001
KRAS_GOF	MAP1B	SLC15A3	0.265	0.151	0.113	0.000
KRAS_GOF	MT3	ZNF845	0.323	0.211	0.112	0.000
KRAS_GOF	NAT8L	RDH10	0.281	0.044	0.237	0.000
KRAS_GOF	NAT8L	SLC5A12	0.277	0.138	0.140	0.000
KRAS_GOF	NAT8L	TNFRSF19	0.281	0.097	0.184	0.000
KRAS_GOF	NFKBID	RNF34	0.364	0.230	0.134	0.000
KRAS_GOF	NRAS	RAF1	0.305	0.472	-0.167	0.000
KRAS_GOF	PGF	THBD	0.263	0.139	0.125	0.001
KRAS_GOF	PSMD14	TMTC1	0.173	0.278	-0.104	0.001
KRAS_GOF	RDH10	UCKL1	0.267	0.120	0.147	0.000
KRAS_GOF	TCF7L2	TTC7A	0.278	0.176	0.103	0.001
KRAS_GOF	ZNF112	ZNF845	0.255	0.113	0.142	0.000
KRT14_LOF	SMIM12	TMEM35B	0.289	0.130	0.159	0.000
LAMA5_LOF	SPHK1	VCPKMT	0.315	0.214	0.101	0.000
LONP2_LOF	AREL1	CLEC1A	0.292	0.146	0.145	0.000
LONP2_LOF	COLEC11	PPP1R35	0.256	0.150	0.105	0.000
LONP2_LOF	SAMD5	TMEM178B	0.274	0.174	0.100	0.000
LRP2_LOF	ABCA5	MBOAT2	0.329	0.205	0.124	0.000
LRP2_LOF	ABCA5	PTPRT	0.257	0.132	0.125	0.001
LRP2_LOF	ABCA5	TMEM210	0.267	0.103	0.164	0.000
LRP2_LOF	ABCA5	ZNF439	0.306	0.203	0.104	0.001
LRP2_LOF	ABHD13	SERPINB7	0.268	0.166	0.102	0.000
LRP2_LOF	ABLIM1	IL18	0.356	0.256	0.100	0.001
LRP2_LOF	ADGRF3	TMEM210	0.256	0.115	0.141	0.000
LRP2_LOF	AMPD2	DECR1	0.280	0.120	0.160	0.001
LRP2_LOF	AMPD2	EFNA2	0.298	0.133	0.165	0.001
LRP2_LOF	AMPD2	FGF22	0.252	0.059	0.194	0.000
LRP2_LOF	AMPD2	KLHL35	0.257	0.133	0.123	0.001
LRP2_LOF	AMPD2	PRSS8	0.259	0.121	0.138	0.001
LRP2_LOF	AP4S1	CCDC91	0.304	0.204	0.100	0.000
LRP2_LOF	AP4S1	MACC1	0.319	0.199	0.120	0.000
LRP2_LOF	AP4S1	SLN	0.310	0.209	0.101	0.000
LRP2_LOF	BHLHE23	FGF22	0.262	0.135	0.127	0.000
LRP2_LOF	BHLHE23	LMBRD1	0.266	0.132	0.134	0.001
LRP2_LOF	BTBD10	MACC1	0.284	0.175	0.109	0.000
LRP2_LOF	C10orf67	OTP	0.267	0.164	0.103	0.001
LRP2_LOF	CACNA2D3	DECR1	0.274	0.167	0.107	0.001
LRP2_LOF	CACNA2D3	FGF22	0.263	0.143	0.120	0.000
LRP2_LOF	CCDC91	MACC1	0.277	0.172	0.106	0.000
LRP2_LOF	CDC20B	ZNF227	0.254	0.145	0.109	0.001
LRP2_LOF	CEP76	MBOAT2	0.257	0.151	0.106	0.001
LRP2_LOF	CEP76	TMEM210	0.248	0.127	0.121	0.001
LRP2_LOF	CYP21A2	FGF22	0.271	0.121	0.150	0.000
LRP2_LOF	CYP21A2	TCTN2	0.297	0.164	0.133	0.000
LRP2_LOF	DECR1	DUSP3	0.285	0.182	0.102	0.000
LRP2_LOF	DECR1	EFNA2	0.316	0.153	0.163	0.001
LRP2_LOF	DECR1	FGF22	0.260	0.033	0.227	0.000
LRP2_LOF	DECR1	LRRC4	0.255	0.098	0.157	0.001
LRP2_LOF	DECR1	MVP	0.257	0.127	0.130	0.001
LRP2_LOF	DECR1	NHLRC3	0.248	0.109	0.138	0.000
LRP2_LOF	DENND5B	LMTK3	0.248	0.100	0.148	0.000
LRP2_LOF	EFNA2	FGF22	0.335	0.152	0.183	0.001
LRP2_LOF	EFNA2	KCNJ16	0.281	0.123	0.159	0.000
LRP2_LOF	EFNA2	KLHL35	0.290	0.159	0.131	0.000
LRP2_LOF	EFNA2	LMTK3	0.265	0.084	0.180	0.000
LRP2_LOF	EFNA2	MBOAT2	0.357	0.243	0.115	0.001
LRP2_LOF	EFNA2	NHLRC3	0.293	0.165	0.128	0.001
LRP2_LOF	EFNA2	P2RX2	0.308	0.182	0.126	0.001
LRP2_LOF	EFNA2	TMEM210	0.315	0.166	0.149	0.000
LRP2_LOF	EFNA2	ZNF439	0.332	0.230	0.103	0.000
LRP2_LOF	EML4	LMTK3	0.272	0.169	0.103	0.001
LRP2_LOF	EML4	MACC1	0.252	0.145	0.108	0.000
LRP2_LOF	EML4	SERPINB7	0.282	0.155	0.127	0.000
LRP2_LOF	ERO1A	KCNJ16	0.248	0.146	0.101	0.001
LRP2_LOF	FGF22	GOLM2	0.272	0.130	0.142	0.001
LRP2_LOF	FGF22	HES1	0.260	0.149	0.111	0.000
LRP2_LOF	FGF22	MTERF2	0.329	0.203	0.126	0.000
LRP2_LOF	FGF22	NHLRC3	0.313	0.162	0.151	0.000
LRP2_LOF	FGF22	NUDT16L1	0.296	0.194	0.101	0.001
LRP2_LOF	FGF22	PTPRT	0.321	0.185	0.136	0.001
LRP2_LOF	FGF22	RPRML	0.263	0.116	0.147	0.001
LRP2_LOF	FGF22	SIRT7	0.276	0.163	0.113	0.001
LRP2_LOF	FGF22	SYDE2	0.279	0.166	0.113	0.001
LRP2_LOF	FGF22	TCTN2	0.273	0.107	0.166	0.000
LRP2_LOF	FGF22	TULP1	0.264	0.157	0.107	0.001
LRP2_LOF	FGF22	ZNF439	0.257	0.135	0.121	0.000
LRP2_LOF	GAL	PDGFB	0.263	0.129	0.133	0.001
LRP2_LOF	GAL	ZNF667	0.257	0.153	0.104	0.001
LRP2_LOF	HELB	TMEM210	0.285	0.144	0.141	0.001
LRP2_LOF	HMX1	ZNF114	0.254	0.151	0.103	0.001
LRP2_LOF	HMX1	ZNF667	0.257	0.141	0.116	0.000
LRP2_LOF	IL18	MACC1	0.369	0.261	0.108	0.000
LRP2_LOF	IL31	SERPINB7	0.279	0.139	0.140	0.000
LRP2_LOF	ITGA9	SERPINB7	0.265	0.150	0.115	0.000
LRP2_LOF	LMBRD1	TCTN2	0.266	0.155	0.112	0.000
LRP2_LOF	LMBRD1	ZNF106	0.271	0.147	0.124	0.000
LRP2_LOF	LMTK3	OTOR	0.284	0.172	0.112	0.000
LRP2_LOF	LMTK3	SERPINB7	0.253	0.039	0.214	0.000
LRP2_LOF	MACC1	THAP2	0.376	0.265	0.111	0.000
LRP2_LOF	MBOAT2	TMEM210	0.305	0.185	0.121	0.000
LRP2_LOF	NHLRC3	PTPRT	0.294	0.191	0.102	0.000
LRP2_LOF	OTOR	SERPINB7	0.287	0.162	0.125	0.000
LRP2_LOF	PRSS8	TCTN2	0.313	0.190	0.123	0.000
LRP2_LOF	SERPINB7	TMEM210	0.267	0.109	0.158	0.000
LRP2_LOF	SLN	THAP2	0.349	0.243	0.106	0.000
MACF1_LOF	GAB2	STAT5B	0.361	0.245	0.116	0.000
MAP1B_LOF	ADTRP	UBE2U	0.273	0.131	0.142	0.001
MAP1B_LOF	SLC38A5	ZBTB38	0.256	0.154	0.103	0.000
MAP3K2_LOF	BTN3A3	DDC	0.352	0.252	0.100	0.000
MAP3K2_LOF	NPY5R	SLC25A47	0.267	0.146	0.121	0.001
MAP3K2_LOF	SLC28A1	ZNF17	0.271	0.168	0.102	0.000
MS4A1_LOF	BCL6	CYB561A3	0.286	0.074	0.211	0.000
MS4A1_LOF	BCL6	EBF1	0.270	0.102	0.168	0.000
MS4A1_LOF	BCL6	MEF2B	0.369	0.241	0.129	0.000
MS4A1_LOF	BCL6	PAX5	0.248	0.070	0.178	0.000
MS4A1_LOF	BCL6	SH3GL1	0.265	0.160	0.105	0.000
MS4A1_LOF	CD19	CD79A	0.303	0.187	0.116	0.000
MS4A1_LOF	CD19	CYB561A3	0.285	0.172	0.113	0.000
MS4A1_LOF	CD79A	EBF1	0.268	0.117	0.150	0.000
MS4A1_LOF	CD79A	PAX5	0.323	0.170	0.153	0.000
MS4A1_LOF	CD79A	SYK	0.299	0.199	0.100	0.000
MS4A1_LOF	CYB561A3	EBF1	0.382	0.214	0.168	0.000
MS4A1_LOF	CYB561A3	MEF2B	0.380	0.193	0.188	0.000
MS4A1_LOF	CYB561A3	PAX5	0.387	0.172	0.215	0.000
MS4A1_LOF	CYB561A3	POU2AF1	0.296	0.176	0.119	0.000
MS4A1_LOF	CYB561A3	SH3GL1	0.307	0.150	0.157	0.000
MS4A1_LOF	CYB561A3	TMEM138	0.290	0.400	-0.110	0.000
MS4A1_LOF	DOCK2	EBF1	0.450	0.350	0.100	0.000
MS4A1_LOF	EBF1	MEF2B	0.387	0.254	0.133	0.000
MS4A1_LOF	EBF1	POU2AF1	0.391	0.275	0.115	0.000
MS4A1_LOF	MEF2B	PAX5	0.358	0.217	0.141	0.000
MS4A1_LOF	PAX5	POU2AF1	0.320	0.212	0.108	0.000
MYH14_LOF	ALOX5AP	OR8B3	0.258	0.114	0.145	0.001
MYH14_LOF	ALOX5AP	STAG3	0.260	0.140	0.120	0.001
MYH14_LOF	AZU1	PIK3R3	0.264	0.160	0.104	0.000
MYH14_LOF	BACE2	TNFSF11	0.282	0.180	0.102	0.000
MYH14_LOF	C17orf97	MAMDC4	0.260	0.151	0.109	0.001
MYH14_LOF	CCDC14	HSD17B14	0.249	0.126	0.123	0.000
MYH14_LOF	CCDC14	TNFSF11	0.279	0.139	0.141	0.001
MYH14_LOF	CCDC3	MUC17	0.252	0.129	0.123	0.000
MYH14_LOF	CLPSL1	MUC17	0.255	0.154	0.100	0.001
MYH14_LOF	FUT5	SCGB3A1	0.268	0.153	0.115	0.001
MYH14_LOF	FUT5	ZNF845	0.277	0.167	0.110	0.000
MYH14_LOF	GPR35	GSDMB	0.248	0.146	0.102	0.000
MYH14_LOF	HBG1	OR8B3	0.294	0.397	-0.102	0.001
MYH14_LOF	LCE1E	OR8B3	0.249	0.360	-0.111	0.000
MYH14_LOF	MAGEB6	MUC17	0.262	0.159	0.104	0.000
MYH14_LOF	MEGF6	PIK3R3	0.274	0.124	0.150	0.000
MYH14_LOF	MUC17	SIGLEC6	0.340	0.240	0.101	0.000
MYH14_LOF	NUDT21	OR8B3	0.184	0.295	-0.111	0.000
MYH14_LOF	PIK3R3	PNPLA7	0.280	0.165	0.115	0.000
MYH14_LOF	PIK3R3	STAG3	0.258	0.103	0.154	0.000
MYH14_LOF	PIK3R3	TNFSF11	0.287	0.124	0.163	0.000
MYH14_LOF	PIP5K1B	TAAR1	0.276	0.136	0.139	0.000
NRAS_GOF	BTBD10	PHF10	0.267	0.161	0.106	0.001
NRAS_GOF	CSF2RA	CSF2RB	0.362	0.131	0.231	0.001
NRAS_GOF	CSF2RA	JAK2	0.280	0.040	0.240	0.001
NRAS_GOF	DMXL1	PRDM1	0.290	0.179	0.111	0.001
NRAS_GOF	ESYT1	H4C7	0.281	0.161	0.120	0.001
NRAS_GOF	GOLGA7	NRAS	0.296	0.083	0.212	0.000
NRAS_GOF	GRB2	SHOC2	0.172	0.306	-0.134	0.000
NRAS_GOF	H2BC12	PPARGC1A	0.306	0.201	0.105	0.000
NRAS_GOF	H4C7	RHOD	0.262	0.134	0.128	0.001
NRAS_GOF	IRF4	NFKB1	0.449	0.345	0.105	0.000
NRAS_GOF	JAK2	LMO2	0.319	0.207	0.112	0.001
NRAS_GOF	KRAS	RAF1	0.390	0.498	-0.108	0.000
NRAS_GOF	NRAS	RAF1	0.305	-0.077	0.382	0.000
NRAS_GOF	NRAS	SHOC2	0.296	0.003	0.293	0.000
NRAS_GOF	PDK3	TEX14	0.314	0.194	0.120	0.000
NRAS_GOF	POU2AF1	PRDM1	0.455	0.355	0.100	0.000
NRAS_GOF	PPARGC1A	SVOPL	0.281	0.152	0.130	0.001
NRAS_GOF	PRDM1	SIK3	0.293	0.171	0.122	0.000
NRAS_GOF	PRDM1	UBE2J1	0.255	0.150	0.105	0.000
NRAS_GOF	PRDM6	SMARCD2	0.251	0.132	0.119	0.001
NRAS_GOF	PTPN11	SHOC2	0.226	0.345	-0.119	0.000
NRAS_GOF	RHOD	TEX14	0.249	0.124	0.125	0.001
NSCLC_adenocarcinoma	ADTRP	TMEM170B	0.354	0.108	0.246	0.000
NSCLC_adenocarcinoma	FDX1	KCNK13	0.510	0.401	0.109	0.000
NSCLC_adenocarcinoma	FDX1	NAT8L	0.425	0.321	0.104	0.000
OC90_LOF	KLLN	THBD	0.294	0.191	0.103	0.000
OGFRL1_LOF	IGFBP3	SLC66A1L	0.272	0.163	0.109	0.000
OR8I2_LOF	GRIK4	INMT	0.293	0.179	0.114	0.000
PHF20_LOF	BATF3	IKZF1	0.352	0.251	0.101	0.001
PHF20_LOF	BATF3	STAT3	0.302	0.192	0.110	0.000
PHF20_LOF	IKZF1	STAT3	0.254	0.145	0.109	0.000
PIK3CA_GOF	BTBD9	MT3	0.345	0.243	0.102	0.000
PIK3CA_GOF	CA8	HSPA6	0.249	0.134	0.116	0.001
PIK3CA_GOF	CLMP	LRRC73	0.262	0.153	0.109	0.000
PIK3CA_GOF	CNPY2	PIK3CA	0.179	0.279	-0.100	0.000
PIK3CA_GOF	CSNK1G2	MT3	0.271	0.170	0.101	0.000
PIK3CA_GOF	CXCL12	GSDMB	0.287	0.166	0.122	0.000
PIK3CA_GOF	CXCL12	MT3	0.258	0.141	0.118	0.000
PIK3CA_GOF	DLX1	MT3	0.274	0.146	0.128	0.001
PIK3CA_GOF	DUSP8	SIGLEC6	0.267	0.149	0.118	0.000
PIK3CA_GOF	EHD4	SLC48A1	0.255	0.153	0.102	0.000
PIK3CA_GOF	FGFBP3	ITPRID1	0.261	0.138	0.123	0.000
PIK3CA_GOF	FOXD4	OR8B3	0.174	0.277	-0.102	0.000
PIK3CA_GOF	FURIN	PIK3CA	0.198	0.299	-0.100	0.000
PIK3CA_GOF	GID4	LRRC73	0.272	0.158	0.115	0.000
PIK3CA_GOF	GSDMB	IDH2	0.262	0.146	0.116	0.000
PIK3CA_GOF	IDH2	MT3	0.255	0.102	0.153	0.000
PIK3CA_GOF	IGF1R	PIK3CA	0.290	0.409	-0.119	0.000
PIK3CA_GOF	IRS2	PIK3CA	0.238	0.361	-0.123	0.000
PIK3CA_GOF	KBTBD2	PIK3CA	0.293	0.400	-0.107	0.000
PIK3CA_GOF	KLLN	NWD2	0.302	0.149	0.153	0.000
PIK3CA_GOF	KLLN	RGS12	0.279	0.173	0.107	0.001
PIK3CA_GOF	LRRC73	NPTXR	0.299	0.197	0.102	0.000
PIK3CA_GOF	LRRC73	PCDHGC3	0.281	0.177	0.104	0.000
PIK3CA_GOF	LTK	TNFSF11	0.248	0.088	0.160	0.000
PIK3CA_GOF	MUC17	ZNF211	0.285	0.162	0.123	0.000
PIK3CA_GOF	NIPA2	NWD2	0.257	0.151	0.106	0.000
PIK3CA_GOF	NUGGC	ZNF623	0.254	0.147	0.107	0.001
PIK3CA_GOF	OR8B3	RBM4B	0.276	0.405	-0.128	0.001
PIK3CA_GOF	PAQR3	TESK1	0.265	0.164	0.100	0.000
PIK3CA_GOF	SPDEF	TRPS1	0.254	0.149	0.105	0.000
PIK3CA_GOF	STAG3	ZNF845	0.260	0.118	0.142	0.001
PIK3CA_GOF	TBC1D24	ZNF845	0.310	0.207	0.103	0.000
PIK3CA_GOF	TMEM30B	ZNF845	0.256	0.155	0.101	0.000
PLCH1_LOF	EIF4A2	GOLIM4	0.254	0.092	0.162	0.000
PLCH1_LOF	EIF4A2	VGF	0.270	0.151	0.119	0.001
PLCH1_LOF	INTU	SENP5	0.257	0.140	0.116	0.000
PLCH1_LOF	INTU	VGF	0.267	0.147	0.120	0.001
PLCH1_LOF	SLC4A4	TMEM106C	0.263	0.124	0.139	0.000
PPM1D_LOF	CEP126	KCTD16	0.280	0.177	0.102	0.000
PPP3R1_LOF	IRF8	MEF2D	0.393	0.246	0.147	0.000
PPP3R1_LOF	MEF2D	SPI1	0.277	0.168	0.110	0.000
PRKCA_LOF	SLC38A5	ZBTB38	0.256	0.148	0.108	0.000
PRSS3_LOF	ALG12	PRDM1	0.261	0.161	0.100	0.000
PRSS3_LOF	ALG12	UBE2J1	0.268	0.168	0.100	0.000
PRSS3_LOF	ATP2C1	HERPUD1	0.254	0.153	0.101	0.000
PRSS3_LOF	DMXL1	HERPUD1	0.264	0.136	0.128	0.000
PRSS3_LOF	DMXL1	PRDM1	0.290	0.174	0.116	0.000
PRSS3_LOF	ERN1	PIM2	0.255	0.144	0.110	0.000
PRSS3_LOF	HERPUD1	IRF4	0.351	0.234	0.117	0.000
PRSS3_LOF	HERPUD1	MEF2C	0.321	0.185	0.136	0.000
PRSS3_LOF	HERPUD1	PIM2	0.397	0.280	0.117	0.000
PRSS3_LOF	HERPUD1	POU2AF1	0.349	0.244	0.105	0.000
PRSS3_LOF	HERPUD1	PRDM1	0.430	0.269	0.161	0.000
PRSS3_LOF	HERPUD1	SMAD7	0.286	0.170	0.115	0.000
PRSS3_LOF	HERPUD1	TCF3	0.359	0.235	0.123	0.000
PRSS3_LOF	HERPUD1	UBE2J1	0.303	0.171	0.132	0.000
PRSS3_LOF	HERPUD1	XBP1	0.376	0.267	0.109	0.000
PRSS3_LOF	IKBKB	PRDM1	0.263	0.159	0.104	0.000
PRSS3_LOF	MANF	PIM2	0.287	0.182	0.105	0.000
PRSS3_LOF	MEF2C	NFKB1	0.302	0.186	0.116	0.000
PRSS3_LOF	MEF2C	PIM2	0.369	0.249	0.120	0.000
PRSS3_LOF	MEF2C	PRDM1	0.320	0.194	0.126	0.000
PRSS3_LOF	NFKB1	PRDM1	0.299	0.183	0.116	0.000
PRSS3_LOF	PRDM1	SMAD7	0.346	0.238	0.109	0.000
PRSS3_LOF	PRDM1	TCF3	0.441	0.323	0.118	0.000
PRSS3_LOF	PRDM1	UBE2J1	0.255	0.104	0.151	0.000
PRSS3_LOF	TCF3	UBE2J1	0.254	0.153	0.101	0.000
RAPGEF2_LOF	NEUROD1	OTX2	0.339	0.231	0.108	0.000
RB1_LOF	C11orf53	POU2F3	0.330	0.152	0.177	0.001
RB1_LOF	CADM2	VGLL3	0.294	0.094	0.200	0.001
RB1_LOF	CD79B	ISM2	0.250	0.129	0.121	0.001
RB1_LOF	CEND1	PYGB	0.253	0.145	0.108	0.001
RB1_LOF	TBX15	ZNF770	0.294	0.179	0.115	0.000
RB1_LOF	TCEAL4	TMCO6	0.250	0.141	0.109	0.000
RBM10_LOF	LMNTD1	TNPO2	0.251	0.030	0.221	0.001
RHOA_GOF	ABCA10	AKNAD1	0.248	0.136	0.111	0.001
RHOA_GOF	ABCB6	CA8	0.249	0.089	0.160	0.000
RHOA_GOF	ABCB6	GSDMB	0.288	0.178	0.110	0.000
RHOA_GOF	ALOX5AP	STAG3	0.260	0.138	0.122	0.001
RHOA_GOF	ARL16	CCDC14	0.298	0.178	0.120	0.000
RHOA_GOF	ARL16	FHL3	0.316	0.205	0.110	0.000
RHOA_GOF	ARL16	GOLGA5	0.253	0.152	0.101	0.000
RHOA_GOF	ARL16	NICN1	0.329	0.218	0.111	0.000
RHOA_GOF	ARL16	PWWP3A	0.252	0.150	0.102	0.000
RHOA_GOF	ARL16	TBXA2R	0.248	0.113	0.135	0.000
RHOA_GOF	ARSF	ATP11A	0.251	0.100	0.152	0.000
RHOA_GOF	ATP11A	ZNF597	0.270	0.107	0.163	0.000
RHOA_GOF	ATP11A	ZNF706	0.268	0.109	0.159	0.000
RHOA_GOF	BACE2	TNFSF11	0.282	0.176	0.106	0.000
RHOA_GOF	C4orf48	TBXA2R	0.267	0.150	0.117	0.000
RHOA_GOF	CA8	GSDMB	0.311	0.199	0.111	0.000
RHOA_GOF	CA8	HSPA6	0.249	0.147	0.102	0.000
RHOA_GOF	CCDC14	GALNT7	0.254	0.078	0.176	0.000
